# Authored from the 2024 PHB SRD (CC-BY 4.0). Spot-check against the printed PHB — wording may have been adjusted in errata.,,,
Ability,Description,Category,Notes
Creature Type,You are a Humanoid. You are also considered a Celestial for any effect that relates to creature type.,Special Abilities,
Size,You are Medium or Small. You choose the size when you select this race.,,Restrict size choices to Medium or Small
Speed,Your Speed is 30 feet.,,Set walking speed to 30ft
Celestial Resistance,You have Resistance to Necrotic damage and Radiant damage.,Special Abilities,Auto adds resistance to Necrotic and Radiant damage
Darkvision,You have Darkvision with a range of 60 feet.,Special Abilities,Set Darkvision to 60ft
Healing Hands,"As a Magic action, you touch a creature and cause it to regain a number of Hit Points equal to your Proficiency Bonus × your character level. Once you use this trait, you can't use it again until you finish a Long Rest.",Action,
Light Bearer,You know the Light cantrip. Charisma is your spellcasting ability for it.,Special Abilities,Auto adds the Light cantrip
Celestial Revelation,"When you reach character level 3, you can transform as a Bonus Action using one of the revelation options below. You stay transformed for 1 minute or until you end the transformation as a Bonus Action. You then can't use this trait again until you finish a Long Rest. When you transform, choose Heavenly Wings, Inner Radiance, or Necrotic Shroud.",Bonus Action,
Heavenly Wings (Revelation),"Two spectral wings sprout from your back. Until the transformation ends, you have a Fly Speed equal to your Speed.",Special Abilities,
Inner Radiance (Revelation),"Searing light radiates from your eyes and mouth. For the transformation's duration, you shed Bright Light in a 10-foot radius and Dim Light for an additional 10 feet, and at the end of each of your turns, each creature within 10 feet of you takes Radiant damage equal to your Proficiency Bonus.",Special Abilities,
Necrotic Shroud (Revelation),"Your eyes turn into pools of darkness, and ghostly, flightless wings sprout from your back. Creatures other than your allies within 10 feet of you that can see you must succeed on a Charisma saving throw (DC 8 + your Charisma modifier + your Proficiency Bonus) or have the Frightened condition until the end of your next turn. Until the transformation ends, once on each of your turns, you can deal extra Necrotic damage to one target when you deal damage to it with an attack or a spell. The extra damage equals your Proficiency Bonus.",Special Abilities,
Languages,"You can speak, read, and write Common and one other language that you and your DM agree is appropriate for your character.",,Auto adds Common to languages (player + DM pick the second)
